type,date,day,time,operation,operation2,latitude,longitude,gender,age,ethnic,officer_ethnic,legislation,objectofsearch,outcome,outcome_link,clothing_rm
Person search,2018-12-02T01:30:00Z,2018-12-02,01:30:00,TRUE,NA,53.47851,-2.248907,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T02:46:00Z,2018-12-02,02:46:00,FALSE,NA,53.469958,-2.237875,Male,NA,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,NA,FALSE
Person search,2018-12-02T02:46:00Z,2018-12-02,02:46:00,FALSE,NA,53.469958,-2.237875,NA,NA,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,NA,FALSE
Person search,2018-12-02T03:40:00Z,2018-12-02,03:40:00,FALSE,NA,53.424707,-2.319606,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-04T04:00:00Z,2018-12-04,04:00:00,FALSE,NA,53.535827,-2.067419,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2018-12-14T00:01:00Z,2018-12-14,00:01:00,FALSE,NA,53.477841,-2.237557,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-14T00:01:00Z,2018-12-14,00:01:00,FALSE,NA,53.477841,-2.237557,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-21T07:45:00Z,2018-12-21,07:45:00,FALSE,NA,53.590663,-2.286761,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,NA,FALSE
Person search,2018-12-23T14:35:00Z,2018-12-23,14:35:00,TRUE,NA,53.479434,-2.241182,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-24T21:45:00Z,2018-12-24,21:45:00,TRUE,NA,53.358459,-2.196069,Male,NA,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T13:50:00Z,2018-12-02,13:50:00,FALSE,NA,53.526837,-2.14844,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T13:50:00Z,2018-12-02,13:50:00,FALSE,NA,53.526837,-2.14844,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T18:05:00Z,2018-12-02,18:05:00,FALSE,NA,53.545579,-2.140039,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T18:05:00Z,2018-12-02,18:05:00,FALSE,NA,53.545579,-2.140039,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T18:05:00Z,2018-12-02,18:05:00,FALSE,NA,53.545579,-2.140039,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-02T18:05:00Z,2018-12-02,18:05:00,FALSE,NA,53.545579,-2.140039,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-14T14:15:00Z,2018-12-14,14:15:00,FALSE,NA,53.459875,-2.114786,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2018-12-14T14:15:00Z,2018-12-14,14:15:00,FALSE,NA,53.459875,-2.114786,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-19T00:01:00Z,2018-12-19,00:01:00,FALSE,NA,53.529781,-2.137181,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2018-12-27T03:51:00Z,2018-12-27,03:51:00,FALSE,NA,53.475029,-2.250318,Male,18-24,Asian/Asian British - Bangladeshi,NA,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-27T10:20:00Z,2018-12-27,10:20:00,FALSE,NA,53.553858,-2.123342,NA,NA,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person search,2018-12-09T16:40:00Z,2018-12-09,16:40:00,FALSE,NA,53.452053,-2.208712,Male,over 34,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-10T22:30:00Z,2018-12-10,22:30:00,FALSE,NA,53.491475,-2.238176,NA,NA,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-11T20:50:00Z,2018-12-11,20:50:00,FALSE,NA,53.455941,-2.210945,Male,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2018-12-14T21:32:00Z,2018-12-14,21:32:00,FALSE,NA,53.46337,-2.232596,Male,25-34,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,NA,FALSE
Person search,2018-12-29T23:20:00Z,2018-12-29,23:20:00,FALSE,NA,53.4585,-2.227238,Male,18-24,Asian/Asian British - Indian,Asian,Firearms Act 1968 (section 47),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-04T10:30:00Z,2018-12-04,10:30:00,FALSE,NA,53.536752,-2.124575,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,TRUE
Person search,2018-12-05T11:50:00Z,2018-12-05,11:50:00,TRUE,NA,53.479028,-2.246198,Male,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,TRUE
Person search,2018-12-05T12:00:00Z,2018-12-05,12:00:00,TRUE,NA,53.478955,-2.246815,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-05T17:54:00Z,2018-12-05,17:54:00,FALSE,NA,53.536539,-2.103119,NA,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-07T22:40:00Z,2018-12-07,22:40:00,FALSE,NA,53.449791,-2.217344,Male,NA,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Khat or Cannabis warning,FALSE,FALSE
Person search,2018-12-08T23:24:00Z,2018-12-08,23:24:00,FALSE,NA,53.605916,-2.169362,Female,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-08T23:24:00Z,2018-12-08,23:24:00,FALSE,NA,53.605916,-2.169362,Female,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-09T01:15:00Z,2018-12-09,01:15:00,TRUE,NA,53.487019,-2.254608,Female,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2018-12-09T02:40:00Z,2018-12-09,02:40:00,TRUE,NA,53.461227,-2.21064,Male,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2018-12-09T02:40:00Z,2018-12-09,02:40:00,TRUE,NA,53.461227,-2.21064,Male,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2018-12-10T23:45:00Z,2018-12-10,23:45:00,FALSE,NA,53.471412,-2.220091,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-11T22:00:00Z,2018-12-11,22:00:00,FALSE,NA,53.462338,-2.232169,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),TRUE,FALSE
Person and Vehicle search,2018-12-11T23:08:00Z,2018-12-11,23:08:00,FALSE,NA,53.459763,-2.209819,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),TRUE,FALSE
Person and Vehicle search,2018-12-14T20:24:00Z,2018-12-14,20:24:00,FALSE,NA,53.536568,-2.099785,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-17T17:30:00Z,2018-12-17,17:30:00,FALSE,NA,53.520369,-2.20116,NA,NA,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person and Vehicle search,2018-12-17T20:32:00Z,2018-12-17,20:32:00,FALSE,NA,53.604311,-2.166136,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2018-12-17T20:32:00Z,2018-12-17,20:32:00,FALSE,NA,53.604311,-2.166136,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2018-12-18T16:24:00Z,2018-12-18,16:24:00,FALSE,NA,53.620394,-2.163947,Male,NA,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,NA,FALSE
Person search,2018-12-19T09:21:00Z,2018-12-19,09:21:00,FALSE,NA,53.479937,-2.24105,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,NA,FALSE
Person search,2018-12-19T18:23:00Z,2018-12-19,18:23:00,FALSE,NA,53.543876,-2.127765,Male,NA,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,NA,FALSE
Person search,2018-12-20T20:22:00Z,2018-12-20,20:22:00,FALSE,NA,53.400226,-2.161805,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,NA,FALSE
