city_name,census_block,crime_counts
Austin,482090109011000,3
Austin,482090109011001,2
Austin,482090109011004,2
Austin,484530001011000,10
Austin,484530001011001,1
Austin,484530001011004,1
Austin,484530001011005,2
Austin,484530001011007,1
Austin,484530001011008,1
Austin,484530001011009,1
Austin,484530001011011,4
Austin,484530001011012,1
Austin,484530001011013,1
Austin,484530001011014,3
Austin,484530001012000,14
Austin,484530001012002,2
Austin,484530001012005,4
Austin,484530001012006,2
Austin,484530001012007,8
Austin,484530001012012,2
Austin,484530001012017,1
Austin,484530001012018,1
Austin,484530001012020,1
Austin,484530001012021,1
Austin,484530001012022,2
Austin,484530001012023,1
Austin,484530001012025,3
Austin,484530001012026,5
Austin,484530001012027,3
Austin,484530001012028,3
Austin,484530001012031,1
Austin,484530001012034,1
Austin,484530001013000,10
Austin,484530001013003,2
Austin,484530001013005,1
Austin,484530001013006,1
Austin,484530001013008,3
Austin,484530001013010,2
Austin,484530001013013,2
Austin,484530001013015,1
Austin,484530001013017,2
Austin,484530001013018,4
Austin,484530001013019,8
Austin,484530001013021,2
Austin,484530001013022,4
Austin,484530001013023,5
Austin,484530001013025,1
Austin,484530001013026,1
Austin,484530001021003,2
Austin,484530001021004,1
Austin,484530001021006,3
Austin,484530001021008,5
Austin,484530001021010,1
Austin,484530001021011,1
Austin,484530001021014,1
Austin,484530001021015,1
Austin,484530001021022,1
Austin,484530001021023,6
Austin,484530001021024,1
Austin,484530001022000,3
Austin,484530001022001,1
Austin,484530001022002,5
Austin,484530001022004,6
Austin,484530001022006,4
Austin,484530001022007,1
Austin,484530001022008,11
Austin,484530001022009,1
Austin,484530001022011,1
Austin,484530002031000,2
Austin,484530002031001,10
Austin,484530002031002,1
Austin,484530002031003,5
Austin,484530002031004,11
Austin,484530002031009,16
Austin,484530002031010,8
Austin,484530002031011,17
Austin,484530002031012,13
Austin,484530002041000,9
Austin,484530002041001,9
Austin,484530002041003,10
Austin,484530002041004,1
Austin,484530002041005,5
Austin,484530002041006,6
Austin,484530002041007,4
Austin,484530002041008,3
Austin,484530002041009,1
Austin,484530002041010,1
Austin,484530002041011,8
Austin,484530002041012,7
Austin,484530002041013,1
Austin,484530002041015,2
Austin,484530002041016,5
Austin,484530002041018,6
Austin,484530002041019,9
Austin,484530002041022,5
Austin,484530002041023,7
Austin,484530002041024,7
Austin,484530002041025,3
Austin,484530002041026,10
Austin,484530002041027,3
Austin,484530002041028,17
Austin,484530002041029,3
Austin,484530002041030,2
Austin,484530002041031,16
Austin,484530002042000,3
Austin,484530002042001,1
Austin,484530002042002,3
Austin,484530002042004,1
Austin,484530002042006,1
Austin,484530002042008,3
Austin,484530002042010,6
Austin,484530002042011,2
Austin,484530002042013,1
Austin,484530002042018,2
Austin,484530002042022,1
Austin,484530002042023,4
Austin,484530002043000,2
Austin,484530002043001,1
Austin,484530002043003,11
Austin,484530002043005,1
Austin,484530002043007,3
Austin,484530002043008,2
Austin,484530002043010,3
Austin,484530002043011,5
Austin,484530002043012,1
Austin,484530002043013,4
Austin,484530002043014,7
Austin,484530002043015,2
Austin,484530002043017,2
Austin,484530002043018,1
Austin,484530002043019,3
Austin,484530002043020,5
Austin,484530002043021,1
Austin,484530002043022,3
Austin,484530002043023,7
Austin,484530002043024,6
Austin,484530002043025,7
Austin,484530002043027,6
Austin,484530002043028,9
Austin,484530002043029,3
Austin,484530002043030,3
Austin,484530002043031,4
Austin,484530002043033,3
Austin,484530002043034,3
Austin,484530002043035,3
Austin,484530002051001,2
Austin,484530002051002,20
Austin,484530002051003,5
Austin,484530002051004,5
Austin,484530002051005,1
Austin,484530002051006,4
Austin,484530002051007,4
Austin,484530002051009,16
Austin,484530002051010,5
Austin,484530002051011,18
Austin,484530002051012,10
Austin,484530002052001,1
Austin,484530002052002,1
Austin,484530002052003,4
Austin,484530002052004,2
Austin,484530002052006,3
Austin,484530002052007,19
Austin,484530002052008,20
Austin,484530002053000,13
Austin,484530002053001,9
Austin,484530002053002,2
Austin,484530002053003,5
Austin,484530002053007,3
Austin,484530002053008,6
Austin,484530002053009,2
Austin,484530002061001,1
Austin,484530002061002,3
Austin,484530002061004,3
Austin,484530002061006,6
Austin,484530002061007,2
Austin,484530002061008,1
Austin,484530002061009,2
Austin,484530002061010,1
Austin,484530002061011,1
Austin,484530002061012,1
Austin,484530002061014,1
Austin,484530002061017,1
Austin,484530002061019,1
Austin,484530002061020,2
Austin,484530002061021,2
Austin,484530002061022,1
Austin,484530002061023,2
Austin,484530002062001,1
Austin,484530002062002,2
Austin,484530002062003,1
Austin,484530002062005,5
Austin,484530002062006,4
Austin,484530002062007,5
Austin,484530002062008,1
Austin,484530002062009,3
Austin,484530002062010,1
Austin,484530002062011,3
Austin,484530002062013,2
Austin,484530002063001,9
Austin,484530002063002,7
Austin,484530003021000,10
Austin,484530003021001,5
Austin,484530003021003,5
Austin,484530003021004,4
Austin,484530003021005,1
Austin,484530003021006,1
Austin,484530003021007,5
Austin,484530003021010,3
Austin,484530003021012,1
Austin,484530003021013,2
Austin,484530003021015,2
Austin,484530003021018,2
Austin,484530003022000,3
Austin,484530003022001,1
Austin,484530003022006,1
Austin,484530003022007,2
Austin,484530003022008,7
Austin,484530003022009,10
Austin,484530003022010,7
Austin,484530003022011,11
Austin,484530003022012,11
Austin,484530003023000,6
Austin,484530003023002,4
Austin,484530003023003,7
Austin,484530003023004,4
Austin,484530003023005,2
Austin,484530003023006,1
Austin,484530003023007,2
Austin,484530003023008,2
Austin,484530003023009,6
Austin,484530003023012,2
Austin,484530003023013,2
Austin,484530003023014,1
Austin,484530003023015,1
Austin,484530003024000,9
Austin,484530003024004,5
Austin,484530003024005,3
Austin,484530003024006,1
Austin,484530003024007,3
Austin,484530003024010,12
Austin,484530003024011,6
Austin,484530003024012,2
Austin,484530003024014,2
Austin,484530003024015,7
Austin,484530003024016,2
Austin,484530003024017,6
Austin,484530003024018,1
Austin,484530003024019,14
Austin,484530003025000,5
Austin,484530003025002,2
Austin,484530003025003,1
Austin,484530003025004,1
Austin,484530003025005,5
Austin,484530003025006,4
Austin,484530003025007,3
Austin,484530003025010,4
Austin,484530003025011,2
Austin,484530003025012,3
Austin,484530003025015,6
Austin,484530003025017,1
Austin,484530003025018,1
Austin,484530003025020,2
Austin,484530003025021,2
Austin,484530003025023,6
Austin,484530003025024,2
Austin,484530003025027,2
Austin,484530003025028,1
Austin,484530003025029,3
Austin,484530003025030,1
Austin,484530003025032,4
Austin,484530003025034,1
Austin,484530003041000,3
Austin,484530003041001,1
Austin,484530003041003,1
Austin,484530003041004,2
Austin,484530003041005,13
Austin,484530003041006,3
Austin,484530003041007,4
Austin,484530003041008,7
Austin,484530003041009,1
Austin,484530003041010,7
Austin,484530003041011,1
Austin,484530003041012,3
Austin,484530003041013,2
Austin,484530003041014,6
Austin,484530003041015,10
Austin,484530003041016,1
Austin,484530003041018,4
Austin,484530003041019,2
Austin,484530003041020,4
Austin,484530003041021,7
Austin,484530003041022,2
Austin,484530003041024,1
Austin,484530003041025,2
Austin,484530003041026,1
Austin,484530003041027,1
Austin,484530003041028,5
Austin,484530003041029,12
Austin,484530003041030,4
Austin,484530003041032,11
Austin,484530003041033,18
Austin,484530003041034,3
Austin,484530003042000,5
Austin,484530003042003,2
Austin,484530003042004,2
Austin,484530003042007,3
Austin,484530003042009,1
Austin,484530003042010,1
Austin,484530003042011,1
Austin,484530003042012,5
Austin,484530003042013,8
Austin,484530003042014,2
Austin,484530003042015,5
Austin,484530003042017,3
Austin,484530003042019,1
Austin,484530003042020,3
Austin,484530003042021,6
Austin,484530003042022,1
Austin,484530003042023,2
Austin,484530003042024,1
Austin,484530003042025,1
Austin,484530003042026,11
Austin,484530003042028,1
Austin,484530003042030,5
Austin,484530003042031,1
Austin,484530003042032,2
Austin,484530003042033,4
Austin,484530003042035,1
Austin,484530003051000,3
Austin,484530003051001,4
Austin,484530003051002,1
Austin,484530003051003,3
Austin,484530003051004,1
Austin,484530003051005,1
Austin,484530003051006,7
Austin,484530003051007,1
Austin,484530003051008,2
Austin,484530003051012,3
Austin,484530003051015,2
Austin,484530003051016,1
Austin,484530003051019,1
Austin,484530003051020,1
Austin,484530003051021,2
Austin,484530003051022,1
Austin,484530003051025,4
Austin,484530003051026,3
Austin,484530003051027,3
Austin,484530003051028,3
Austin,484530003051030,5
Austin,484530003052000,5
Austin,484530003052001,18
Austin,484530003052002,14
Austin,484530003052003,5
Austin,484530003052005,2
Austin,484530003052006,2
Austin,484530003052007,2
Austin,484530003052008,2
Austin,484530003053000,12
Austin,484530003053001,9
Austin,484530003053002,3
Austin,484530003053003,1
Austin,484530003053004,1
Austin,484530003053005,2
Austin,484530003053006,18
Austin,484530003053007,3
Austin,484530003053008,2
Austin,484530003053010,1
Austin,484530003053012,1
Austin,484530003053013,2
Austin,484530003053014,14
Austin,484530003061000,13
Austin,484530003061002,11
Austin,484530003061004,1
Austin,484530003061005,5
Austin,484530003061006,2
Austin,484530003061007,5
Austin,484530003061008,1
Austin,484530003061011,12
Austin,484530003061012,6
Austin,484530003061014,9
Austin,484530003061015,5
Austin,484530003061016,2
Austin,484530003061017,3
Austin,484530003061018,14
Austin,484530003061019,12
Austin,484530003061020,3
Austin,484530003061021,1
Austin,484530003061022,2
Austin,484530003061023,1
Austin,484530003061024,2
Austin,484530003061026,1
Austin,484530003061027,1
Austin,484530003061028,2
Austin,484530003061029,1
Austin,484530003061030,1
Austin,484530003061034,2
Austin,484530003061036,4
Austin,484530003061039,8
Austin,484530003061040,1
Austin,484530003061041,1
Austin,484530003061042,2
Austin,484530003061043,1
Austin,484530003061044,1
Austin,484530003061045,1
Austin,484530003071000,10
Austin,484530003071001,6
Austin,484530003071002,2
Austin,484530003071003,11
Austin,484530003071004,2
Austin,484530003071007,6
Austin,484530003071008,7
Austin,484530003071010,1
Austin,484530003071011,14
Austin,484530003071012,6
Austin,484530003071013,8
Austin,484530003071015,5
Austin,484530003071016,2
Austin,484530003071017,6
Austin,484530003071018,3
Austin,484530003071019,18
Austin,484530003071020,5
Austin,484530003071022,3
Austin,484530003071025,1
Austin,484530003071027,14
Austin,484530003071028,1
Austin,484530003071030,6
Austin,484530003071032,2
Austin,484530003071033,3
Austin,484530003071036,1
Austin,484530003071038,4
Austin,484530003071039,2
Austin,484530003071040,1
Austin,484530003071041,2
Austin,484530003071042,1
Austin,484530003071043,2
Austin,484530003071046,16
Austin,484530003071047,1
Austin,484530003071049,5
Austin,484530003071051,1
Austin,484530004011000,8
Austin,484530004011001,14
Austin,484530004011002,17
Austin,484530004011004,1
Austin,484530004011005,1
Austin,484530004011006,7
Austin,484530004011008,1
Austin,484530004011009,3
Austin,484530004011010,3
Austin,484530004011011,6
Austin,484530004011012,1
Austin,484530004011013,1
Austin,484530004011014,3
Austin,484530004011016,1
Austin,484530004011017,1
Austin,484530004011018,4
Austin,484530004011019,13
Austin,484530004011020,8
Austin,484530004011021,3
Austin,484530004011025,9
Austin,484530004011026,4
Austin,484530004011027,2
Austin,484530004011028,1
Austin,484530004011030,1
Austin,484530004011031,2
Austin,484530004011032,1
Austin,484530004011033,2
Austin,484530004011034,4
Austin,484530004011036,1
Austin,484530004011038,1
Austin,484530004011039,2
Austin,484530004011042,1
Austin,484530004011043,2
Austin,484530004011044,1
Austin,484530004011045,2
Austin,484530004011046,3
Austin,484530004011049,6
Austin,484530004011050,5
Austin,484530004012001,9
Austin,484530004012002,3
Austin,484530004012003,7
Austin,484530004012004,5
Austin,484530004012006,1
Austin,484530004012008,10
Austin,484530004012009,3
Austin,484530004012010,14
Austin,484530004012011,8
Austin,484530004012014,4
Austin,484530004012015,9
Austin,484530004012016,1
Austin,484530004012018,6
Austin,484530004012019,2
Austin,484530004012020,2
Austin,484530004012027,5
Austin,484530004012029,10
Austin,484530004012030,1
Austin,484530004012031,8
Austin,484530004012033,3
Austin,484530004012034,3
Austin,484530004012038,1
Austin,484530004012040,2
Austin,484530004012041,1
Austin,484530004021000,19
Austin,484530004021001,1
Austin,484530004021002,5
Austin,484530004021003,6
Austin,484530004021004,4
Austin,484530004021005,7
Austin,484530004021006,4
Austin,484530004021007,20
Austin,484530004021009,10
Austin,484530004021010,5
Austin,484530004021011,4
Austin,484530004021012,4
Austin,484530004021014,8
Austin,484530004022000,14
Austin,484530004022002,7
Austin,484530004022003,5
Austin,484530004022004,2
Austin,484530004022005,3
Austin,484530004022007,2
Austin,484530004022008,3
Austin,484530004022009,7
Austin,484530004022010,13
Austin,484530004022011,3
Austin,484530004022012,16
Austin,484530004022013,3
Austin,484530004023000,5
Austin,484530004023001,6
Austin,484530004023002,4
Austin,484530004023003,5
Austin,484530004023004,1
Austin,484530004023005,7
Austin,484530004023006,2
Austin,484530004023007,2
Austin,484530004023009,4
Austin,484530004023010,1
Austin,484530004023011,1
Austin,484530004023013,2
Austin,484530004023014,4
Austin,484530004023015,3
Austin,484530004023016,6
Austin,484530004023018,2
Austin,484530004023019,1
Austin,484530004023020,4
Austin,484530004023021,1
Austin,484530004023022,1
Austin,484530004023023,6
Austin,484530004023024,1
Austin,484530004023025,2
Austin,484530004023026,6
Austin,484530004023027,1
Austin,484530004023028,5
Austin,484530004023029,3
Austin,484530004023032,4
Austin,484530004023033,3
Austin,484530004023034,1
Austin,484530004023035,1
Austin,484530004023038,7
Austin,484530004023039,1
